t =     0.0250
           x          rho            u            p
    -1.00000      0.99960      0.01503    999.43776
    -0.99800      0.99951      0.01821    999.31887
    -0.99600      0.99941      0.02193    999.17961
    -0.99400      0.99930      0.02627    999.01750
    -0.99200      0.99916      0.03129    998.82998
    -0.99000      0.99901      0.03705    998.61442
    -0.98800      0.99883      0.04364    998.36813
    -0.98600      0.99863      0.05113    998.08841
    -0.98400      0.99841      0.05959    997.77259
    -0.98200      0.99816      0.06908    997.41808
    -0.98000      0.99787      0.07968    997.02238
    -0.97800      0.99756      0.09145    996.58312
    -0.97600      0.99721      0.10446    996.09812
    -0.97400      0.99683      0.11874    995.56541
    -0.97200      0.99641      0.13437    994.98323
    -0.97000      0.99596      0.15137    994.35008
    -0.96800      0.99547      0.16978    993.66473
    -0.96600      0.99494      0.18963    992.92624
    -0.96400      0.99437      0.21094    992.13393
    -0.96200      0.99377      0.23372    991.28740
    -0.96000      0.99312      0.25799    990.38656
    -0.95800      0.99244      0.28374    989.43153
    -0.95600      0.99172      0.31096    988.42272
    -0.95400      0.99095      0.33964    987.36075
    -0.95200      0.99016      0.36976    986.24647
    -0.95000      0.98932      0.40129    985.08088
    -0.94800      0.98845      0.43422    983.86520
    -0.94600      0.98754      0.46851    982.60074
    -0.94400      0.98660      0.50412    981.28896
    -0.94200      0.98562      0.54101    979.93141
    -0.94000      0.98462      0.57915    978.52972
    -0.93800      0.98358      0.61850    977.08558
    -0.93600      0.98251      0.65900    975.60071
    -0.93400      0.98141      0.70063    974.07685
    -0.93200      0.98029      0.74333    972.51576
    -0.93000      0.97914      0.78706    970.91918
    -0.92800      0.97796      0.83178    969.28885
    -0.92600      0.97676      0.87744    967.62647
    -0.92400      0.97554      0.92401    965.93372
    -0.92200      0.97430      0.97144    964.21221
    -0.92000      0.97304      1.01969    962.46355
    -0.91800      0.97176      1.06873    960.68925
    -0.91600      0.97046      1.11851    958.89080
    -0.91400      0.96914      1.16901    957.06962
    -0.91200      0.96781      1.22018    955.22708
    -0.91000      0.96646      1.27199    953.36449
    -0.90800      0.96509      1.32442    951.48310
    -0.90600      0.96372      1.37742    949.58410
    -0.90400      0.96233      1.43098    947.66864
    -0.90200      0.96093      1.48506    945.73779
    -0.90000      0.95951      1.53964    943.79259
    -0.89800      0.95809      1.59469    941.83400
    -0.89600      0.95666      1.65020    939.86297
    -0.89400      0.95522      1.70612    937.88035
    -0.89200      0.95377      1.76246    935.88699
    -0.89000      0.95231      1.81918    933.88367
    -0.88800      0.95084      1.87626    931.87114
    -0.88600      0.94937      1.93369    929.85009
    -0.88400      0.94789      1.99146    927.82119
    -0.88200      0.94640      2.04954    925.78507
    -0.88000      0.94491      2.10791    923.74232
    -0.87800      0.94341      2.16657    921.69350
    -0.87600      0.94191      2.22551    919.63914
    -0.87400      0.94040      2.28470    917.57973
    -0.87200      0.93889      2.34413    915.51576
    -0.87000      0.93737      2.40380    913.44765
    -0.86800      0.93585      2.46370    911.37585
    -0.86600      0.93433      2.52381    909.30073
    -0.86400      0.93280      2.58411    907.22267
    -0.86200      0.93127      2.64462    905.14204
    -0.86000      0.92974      2.70531    903.05915
    -0.85800      0.92821      2.76617    900.97434
    -0.85600      0.92667      2.82720    898.88789
    -0.85400      0.92513      2.88840    896.80009
    -0.85200      0.92359      2.94975    894.71120
    -0.85000      0.92205      3.01124    892.62148
    -0.84800      0.92051      3.07288    890.53116
    -0.84600      0.91896      3.13465    888.44047
    -0.84400      0.91742      3.19656    886.34962
    -0.84200      0.91587      3.25858    884.25882
    -0.84000      0.91432      3.32073    882.16826
    -0.83800      0.91277      3.38298    880.07811
    -0.83600      0.91123      3.44535    877.98855
    -0.83400      0.90968      3.50782    875.89974
    -0.83200      0.90813      3.57040    873.81183
    -0.83000      0.90658      3.63307    871.72498
    -0.82800      0.90503      3.69583    869.63931
    -0.82600      0.90348      3.75868    867.55497
    -0.82400      0.90193      3.82162    865.47206
    -0.82200      0.90037      3.88464    863.39072
    -0.82000      0.89882      3.94774    861.31105
    -0.81800      0.89727      4.01092    859.23317
    -0.81600      0.89573      4.07417    857.15716
    -0.81400      0.89418      4.13749    855.08313
    -0.81200      0.89263      4.20088    853.01117
    -0.81000      0.89108      4.26434    850.94137
    -0.80800      0.88953      4.32786    848.87380
    -0.80600      0.88799      4.39144    846.80855
    -0.80400      0.88644      4.45508    844.74569
    -0.80200      0.88489      4.51878    842.68529
    -0.80000      0.88335      4.58253    840.62741
    -0.79800      0.88181      4.64634    838.57213
    -0.79600      0.88026      4.71019    836.51950
    -0.79400      0.87872      4.77410    834.46958
    -0.79200      0.87718      4.83806    832.42243
    -0.79000      0.87564      4.90206    830.37810
    -0.78800      0.87410      4.96611    828.33663
    -0.78600      0.87256      5.03020    826.29808
    -0.78400      0.87103      5.09433    824.26249
    -0.78200      0.86949      5.15851    822.22991
    -0.78000      0.86796      5.22272    820.20037
    -0.77800      0.86643      5.28697    818.17392
    -0.77600      0.86489      5.35126    816.15058
    -0.77400      0.86336      5.41559    814.13041
    -0.77200      0.86183      5.47995    812.11342
    -0.77000      0.86031      5.54435    810.09966
    -0.76800      0.85878      5.60877    808.08916
    -0.76600      0.85726      5.67323    806.08193
    -0.76400      0.85573      5.73772    804.07802
    -0.76200      0.85421      5.80225    802.07744
    -0.76000      0.85269      5.86680    800.08022
    -0.75800      0.85117      5.93138    798.08640
    -0.75600      0.84965      5.99598    796.09598
    -0.75400      0.84814      6.06062    794.10899
    -0.75200      0.84662      6.12528    792.12545
    -0.75000      0.84511      6.18996    790.14538
    -0.74800      0.84360      6.25467    788.16881
    -0.74600      0.84209      6.31940    786.19574
    -0.74400      0.84058      6.38416    784.22619
    -0.74200      0.83908      6.44894    782.26019
    -0.74000      0.83757      6.51374    780.29774
    -0.73800      0.83607      6.57857    778.33886
    -0.73600      0.83457      6.64341    776.38357
    -0.73400      0.83307      6.70828    774.43187
    -0.73200      0.83157      6.77316    772.48379
    -0.73000      0.83007      6.83807    770.53932
    -0.72800      0.82858      6.90299    768.59849
    -0.72600      0.82709      6.96793    766.66130
    -0.72400      0.82560      7.03289    764.72776
    -0.72200      0.82411      7.09787    762.79788
    -0.72000      0.82262      7.16287    760.87168
    -0.71800      0.82113      7.22788    758.94915
