t =     0.0250
           x          rho            u            p
    -1.00000      0.99960      0.01497    999.44015
    -0.99800      0.99952      0.01813    999.32171
    -0.99600      0.99942      0.02184    999.18295
    -0.99400      0.99930      0.02616    999.02140
    -0.99200      0.99917      0.03116    998.83452
    -0.99000      0.99901      0.03691    998.61966
    -0.98800      0.99884      0.04348    998.37413
    -0.98600      0.99864      0.05095    998.09525
    -0.98400      0.99841      0.05938    997.78035
    -0.98200      0.99816      0.06885    997.42681
    -0.98000      0.99788      0.07942    997.03215
    -0.97800      0.99757      0.09116    996.59399
    -0.97600      0.99722      0.10413    996.11015
    -0.97400      0.99684      0.11839    995.57864
    -0.97200      0.99642      0.13398    994.99771
    -0.97000      0.99597      0.15094    994.36584
    -0.96800      0.99548      0.16932    993.68181
    -0.96600      0.99496      0.18913    992.94464
    -0.96400      0.99439      0.21041    992.15367
    -0.96200      0.99378      0.23316    991.30848
    -0.96000      0.99314      0.25739    990.40897
    -0.95800      0.99246      0.28310    989.45527
    -0.95600      0.99173      0.31028    988.44776
    -0.95400      0.99097      0.33892    987.38706
    -0.95200      0.99018      0.36901    986.27401
    -0.95000      0.98934      0.40052    985.10962
    -0.94800      0.98847      0.43341    983.89509
    -0.94600      0.98756      0.46767    982.63173
    -0.94400      0.98662      0.50325    981.32101
    -0.94200      0.98565      0.54011    979.96446
    -0.94000      0.98464      0.57823    978.56372
    -0.93800      0.98360      0.61755    977.12046
    -0.93600      0.98253      0.65803    975.63642
    -0.93400      0.98144      0.69963    974.11333
    -0.93200      0.98031      0.74231    972.55295
    -0.93000      0.97917      0.78602    970.95703
    -0.92800      0.97799      0.83072    969.32731
    -0.92600      0.97679      0.87637    967.66548
    -0.92400      0.97557      0.92292    965.97322
    -0.92200      0.97433      0.97034    964.25217
    -0.92000      0.97307      1.01858    962.50390
    -0.91800      0.97179      1.06760    960.72996
    -0.91600      0.97049      1.11738    958.93182
    -0.91400      0.96917      1.16786    957.11092
    -0.91200      0.96784      1.21902    955.26862
    -0.91000      0.96649      1.27083    953.40623
    -0.90800      0.96512      1.32325    951.52501
    -0.90600      0.96375      1.37625    949.62616
    -0.90400      0.96236      1.42980    947.71081
    -0.90200      0.96096      1.48388    945.78005
    -0.90000      0.95955      1.53845    943.83491
    -0.89800      0.95812      1.59350    941.87637
    -0.89600      0.95669      1.64900    939.90535
    -0.89400      0.95525      1.70493    937.92275
    -0.89200      0.95380      1.76126    935.92938
    -0.89000      0.95234      1.81797    933.92604
    -0.88800      0.95087      1.87506    931.91347
    -0.88600      0.94940      1.93249    929.89238
    -0.88400      0.94792      1.99025    927.86343
    -0.88200      0.94643      2.04833    925.82725
    -0.88000      0.94494      2.10671    923.78444
    -0.87800      0.94344      2.16537    921.73555
    -0.87600      0.94194      2.22430    919.68112
    -0.87400      0.94043      2.28349    917.62165
    -0.87200      0.93892      2.34293    915.55760
    -0.87000      0.93740      2.40260    913.48943
    -0.86800      0.93588      2.46249    911.41755
    -0.86600      0.93436      2.52260    909.34236
    -0.86400      0.93283      2.58291    907.26424
    -0.86200      0.93130      2.64341    905.18355
    -0.86000      0.92977      2.70410    903.10061
    -0.85800      0.92824      2.76496    901.01574
    -0.85600      0.92670      2.82599    898.92925
    -0.85400      0.92516      2.88719    896.84141
    -0.85200      0.92362      2.94853    894.75249
    -0.85000      0.92208      3.01003    892.66274
    -0.84800      0.92054      3.07166    890.57241
    -0.84600      0.91899      3.13343    888.48171
    -0.84400      0.91745      3.19533    886.39087
    -0.84200      0.91590      3.25735    884.30008
    -0.84000      0.91435      3.31950    882.20954
    -0.83800      0.91280      3.38175    880.11942
    -0.83600      0.91126      3.44412    878.02990
    -0.83400      0.90971      3.50658    875.94114
    -0.83200      0.90816      3.56915    873.85330
    -0.83000      0.90661      3.63182    871.76652
    -0.82800      0.90506      3.69458    869.68093
    -0.82600      0.90351      3.75742    867.59668
    -0.82400      0.90196      3.82036    865.51389
    -0.82200      0.90041      3.88337    863.43266
    -0.82000      0.89886      3.94646    861.35313
    -0.81800      0.89731      4.00963    859.27538
    -0.81600      0.89576      4.07288    857.19953
    -0.81400      0.89421      4.13619    855.12566
    -0.81200      0.89266      4.19957    853.05388
    -0.81000      0.89111      4.26302    850.98426
    -0.80800      0.88956      4.32653    848.91690
    -0.80600      0.88802      4.39010    846.85186
    -0.80400      0.88647      4.45373    844.78922
    -0.80200      0.88493      4.51742    842.72906
    -0.80000      0.88338      4.58116    840.67143
    -0.79800      0.88184      4.64496    838.61641
    -0.79600      0.88030      4.70881    836.56405
    -0.79400      0.87875      4.77270    834.51442
    -0.79200      0.87721      4.83664    832.46756
    -0.79000      0.87567      4.90063    830.42354
    -0.78800      0.87414      4.96467    828.38239
    -0.78600      0.87260      5.02875    826.34417
    -0.78400      0.87106      5.09287    824.30893
    -0.78200      0.86953      5.15703    822.27670
    -0.78000      0.86799      5.22123    820.24752
    -0.77800      0.86646      5.28546    818.22145
    -0.77600      0.86493      5.34974    816.19850
    -0.77400      0.86340      5.41405    814.17873
    -0.77200      0.86187      5.47839    812.16215
    -0.77000      0.86034      5.54277    810.14881
    -0.76800      0.85882      5.60718    808.13874
    -0.76600      0.85729      5.67162    806.13195
    -0.76400      0.85577      5.73610    804.12849
    -0.76200      0.85425      5.80060    802.12838
    -0.76000      0.85273      5.86513    800.13164
    -0.75800      0.85121      5.92969    798.13829
    -0.75600      0.84969      5.99428    796.14837
    -0.75400      0.84818      6.05889    794.16188
    -0.75200      0.84666      6.12353    792.17886
    -0.75000      0.84515      6.18820    790.19932
    -0.74800      0.84364      6.25288    788.22327
    -0.74600      0.84213      6.31760    786.25075
    -0.74400      0.84063      6.38233    784.28175
    -0.74200      0.83912      6.44709    782.31631
    -0.74000      0.83762      6.51187    780.35443
    -0.73800      0.83611      6.57667    778.39613
    -0.73600      0.83461      6.64149    776.44143
    -0.73400      0.83311      6.70633    774.49032
    -0.73200      0.83162      6.77119    772.54284
    -0.73000      0.83012      6.83607    770.59899
    -0.72800      0.82863      6.90097    768.65877
    -0.72600      0.82713      6.96589    766.72221
    -0.72400      0.82564      7.03082    764.78931
    -0.72200      0.82415      7.09577    762.86007
    -0.72000      0.82267      7.16074    760.93452
    -0.71800      0.82118      7.22573    759.01265
    -0.71600      0.81970      7.29073    757.09448
    -0.71400      0.81822      7.35574    755.18000
    -0.71200      0.81674      7.42077    753.26924
    -0.71000      0.81526      7.48582    751.36219
    -0.70800      0.81378      7.55088    749.45886
    -0.70600      0.81231      7.61595    747.55926
    -0.70400      0.81084      7.68104    745.66339
    -0.70200      0.80937      7.74614    743.77125
    -0.70000      0.80790      7.81126    741.88286
    -0.69800      0.80643      7.87638    739.99821
    -0.69600      0.80496      7.94152    738.11731
    -0.69400      0.80350      8.00667    736.24017
    -0.69200      0.80204      8.07184    734.36678
    -0.69000      0.80058      8.13701    732.49714
    -0.68800      0.79912      8.20220    730.63127
    -0.68600      0.79767      8.26739    728.76917
    -0.68400      0.79621      8.33260    726.91083
    -0.68200      0.79476      8.39782    725.05625
    -0.68000      0.79331      8.46304    723.20545
    -0.67800      0.79186      8.52828    721.35842
    -0.67600      0.79042      8.59353    719.51516
    -0.67400      0.78897      8.65879    717.67568
    -0.67200      0.78753      8.72405    715.83997
    -0.67000      0.78609      8.78933    714.00804
    -0.66800      0.78465      8.85461    712.17988
    -0.66600      0.78321      8.91990    710.35550
    -0.66400      0.78178      8.98520    708.53489
    -0.66200      0.78034      9.05051    706.71806
    -0.66000      0.77891      9.11583    704.90501
    -0.65800      0.77748      9.18115    703.09573
    -0.65600      0.77606      9.24648    701.29023
    -0.65400      0.77463      9.31182    699.48850
    -0.65200      0.77321      9.37717    697.69055
    -0.65000      0.77179      9.44252    695.89638
    -0.64800      0.77037      9.50788    694.10597
    -0.64600      0.76895      9.57325    692.31934
    -0.64400      0.76753      9.63862    690.53648
    -0.64200      0.76612      9.70400    688.75738
    -0.64000      0.76471      9.76938    686.98206
    -0.63800      0.76330      9.83477    685.21050
    -0.63600      0.76189      9.90017    683.44271
    -0.63400      0.76049      9.96557    681.67868
    -0.63200      0.75908     10.03098    679.91841
    -0.63000      0.75768     10.09639    678.16190
    -0.62800      0.75628     10.16181    676.40916
    -0.62600      0.75488     10.22723    674.66016
    -0.62400      0.75349     10.29265    672.91493
    -0.62200      0.75209     10.35808    671.17344
    -0.62000      0.75070     10.42352    669.43571
    -0.61800      0.74931     10.48896    667.70172
    -0.61600      0.74792     10.55440    665.97149
    -0.61400      0.74654     10.61985    664.24499
    -0.61200      0.74515     10.68530    662.52224
    -0.61000      0.74377     10.75075    660.80323
    -0.60800      0.74239     10.81621    659.08795
    -0.60600      0.74101     10.88167    657.37642
    -0.60400      0.73964     10.94714    655.66861
    -0.60200      0.73826     11.01260    653.96454
    -0.60000      0.73689     11.07807    652.26419
    -0.59800      0.73552     11.14354    650.56757
    -0.59600      0.73415     11.20902    648.87467
    -0.59400      0.73279     11.27450    647.18550
    -0.59200      0.73142     11.33997    645.50004
    -0.59000      0.73006     11.40545    643.81831
    -0.58800      0.72870     11.47094    642.14028
    -0.58600      0.72734     11.53642    640.46597
    -0.58400      0.72598     11.60190    638.79537
    -0.58200      0.72463     11.66739    637.12847
    -0.58000      0.72328     11.73288    635.46528
    -0.57800      0.72193     11.79837    633.80580
    -0.57600      0.72058     11.86385    632.15001
    -0.57400      0.71923     11.92934    630.49793
    -0.57200      0.71789     11.99483    628.84954
    -0.57000      0.71655     12.06032    627.20485
    -0.56800      0.71521     12.12581    625.56384
    -0.56600      0.71387     12.19130    623.92653
    -0.56400      0.71253     12.25679    622.29291
    -0.56200      0.71120     12.32227    620.66298
    -0.56000      0.70987     12.38776    619.03673
    -0.55800      0.70854     12.45325    617.41416
    -0.55600      0.70721     12.51873    615.79528
    -0.55400      0.70588     12.58421    614.18008
    -0.55200      0.70456     12.64969    612.56856
    -0.55000      0.70324     12.71517    610.96071
    -0.54800      0.70192     12.78065    609.35655
    -0.54600      0.70060     12.84612    607.75605
    -0.54400      0.69928     12.91159    606.15924
    -0.54200      0.69797     12.97706    604.56610
    -0.54000      0.69666     13.04252    602.97663
    -0.53800      0.69535     13.10798    601.39083
    -0.53600      0.69404     13.17344    599.80871
    -0.53400      0.69273     13.23889    598.23026
    -0.53200      0.69143     13.30433    596.65548
    -0.53000      0.69013     13.36978    595.08438
    -0.52800      0.68883     13.43521    593.51694
    -0.52600      0.68753     13.50065    591.95319
    -0.52400      0.68624     13.56607    590.39310
    -0.52200      0.68494     13.63149    588.83670
    -0.52000      0.68365     13.69690    587.28396
    -0.51800      0.68236     13.76231    585.73491
    -0.51600      0.68108     13.82771    584.18954
    -0.51400      0.67979     13.89310    582.64785
    -0.51200      0.67851     13.95848    581.10984
    -0.51000      0.67723     14.02385    579.57552
    -0.50800      0.67595     14.08922    578.04490
    -0.50600      0.67467     14.15457    576.51796
    -0.50400      0.67340     14.21992    574.99472
    -0.50200      0.67213     14.28525    573.47519
    -0.50000      0.67086     14.35057    571.95936
    -0.49800      0.66959     14.41588    570.44724
    -0.49600      0.66832     14.48118    568.93884
    -0.49400      0.66706     14.54646    567.43415
    -0.49200      0.66580     14.61173    565.93320
    -0.49000      0.66454     14.67699    564.43599
    -0.48800      0.66328     14.74223    562.94252
    -0.48600      0.66203     14.80746    561.45279
    -0.48400      0.66077     14.87267    559.96683
    -0.48200      0.65952     14.93786    558.48464
    -0.48000      0.65828     15.00303    557.00623
    -0.47800      0.65703     15.06818    555.53161
    -0.47600      0.65579     15.13332    554.06079
    -0.47400      0.65454     15.19843    552.59379
    -0.47200      0.65331     15.26352    551.13062
    -0.47000      0.65207     15.32859    549.67129
    -0.46800      0.65083     15.39363    548.21582
    -0.46600      0.64960     15.45865    546.76422
    -0.46400      0.64837     15.52364    545.31652
    -0.46200      0.64715     15.58860    543.87273
    -0.46000      0.64592     15.65353    542.43288
    -0.45800      0.64470     15.71843    540.99697
    -0.45600      0.64348     15.78330    539.56505
    -0.45400      0.64226     15.84814    538.13713
    -0.45200      0.64105     15.91294    536.71324
    -0.45000      0.63983     15.97770    535.29340
    -0.44800      0.63862     16.04242    533.87766
    -0.44600      0.63742     16.10710    532.46603
    -0.44400      0.63621     16.17174    531.05856
    -0.44200      0.63501     16.23633    529.65528
    -0.44000      0.63381     16.30087    528.25623
    -0.43800      0.63262     16.36536    526.86146
    -0.43600      0.63142     16.42979    525.47100
    -0.43400      0.63023     16.49417    524.08492
    -0.43200      0.62904     16.55849    522.70325
    -0.43000      0.62786     16.62275    521.32605
    -0.42800      0.62668     16.68694    519.95339
    -0.42600      0.62550     16.75106    518.58533
    -0.42400      0.62432     16.81511    517.22193
    -0.42200      0.62315     16.87907    515.86327
    -0.42000      0.62198     16.94296    514.50942
    -0.41800      0.62082     17.00676    513.16048
    -0.41600      0.61965     17.07046    511.81652
    -0.41400      0.61849     17.13407    510.47765
    -0.41200      0.61734     17.19757    509.14397
    -0.41000      0.61619     17.26096    507.81558
    -0.40800      0.61504     17.32423    506.49262
    -0.40600      0.61390     17.38738    505.17521
    -0.40400      0.61276     17.45040    503.86349
    -0.40200      0.61162     17.51328    502.55760
    -0.40000      0.61049     17.57600    501.25771
    -0.39800      0.60936     17.63857    499.96400
    -0.39600      0.60824     17.70097    498.67664
    -0.39400      0.60713     17.76319    497.39584
    -0.39200      0.60601     17.82521    496.12183
    -0.39000      0.60491     17.88703    494.85482
    -0.38800      0.60381     17.94863    493.59510
    -0.38600      0.60271     18.00999    492.34291
    -0.38400      0.60162     18.07111    491.09858
    -0.38200      0.60054     18.13195    489.86241
    -0.38000      0.59946     18.19250    488.63477
    -0.37800      0.59839     18.25274    487.41602
    -0.37600      0.59733     18.31265    486.20659
    -0.37400      0.59628     18.37221    485.00692
    -0.37200      0.59523     18.43138    483.81750
    -0.37000      0.59420     18.49013    482.63884
    -0.36800      0.59317     18.54845    481.47153
    -0.36600      0.59215     18.60628    480.31618
    -0.36400      0.59115     18.66360    479.17345
    -0.36200      0.59015     18.72037    478.04409
    -0.36000      0.58917     18.77654    476.92887
    -0.35800      0.58819     18.83206    475.82866
