t =     0.0250
           x          rho            u            p
    -1.00000      0.99960      0.01495    999.44063
    -0.99800      0.99952      0.01812    999.32232
    -0.99600      0.99942      0.02182    999.18373
    -0.99400      0.99930      0.02614    999.02239
    -0.99200      0.99917      0.03113    998.83574
    -0.99000      0.99901      0.03687    998.62116
    -0.98800      0.99884      0.04343    998.37596
    -0.98600      0.99864      0.05089    998.09746
    -0.98400      0.99842      0.05931    997.78298
    -0.98200      0.99816      0.06876    997.42992
    -0.98000      0.99788      0.07932    997.03580
    -0.97800      0.99757      0.09105    996.59824
    -0.97600      0.99722      0.10400    996.11506
    -0.97400      0.99684      0.11824    995.58427
    -0.97200      0.99643      0.13381    995.00412
    -0.97000      0.99598      0.15075    994.37309
    -0.96800      0.99549      0.16910    993.68997
    -0.96600      0.99496      0.18889    992.95377
    -0.96400      0.99440      0.21013    992.16382
    -0.96200      0.99379      0.23285    991.31972
    -0.96000      0.99315      0.25705    990.42134
    -0.95800      0.99247      0.28273    989.46881
    -0.95600      0.99174      0.30988    988.46253
    -0.95400      0.99099      0.33849    987.40311
    -0.95200      0.99019      0.36854    986.29137
    -0.95000      0.98935      0.40001    985.12832
    -0.94800      0.98848      0.43287    983.91516
    -0.94600      0.98758      0.46709    982.65321
    -0.94400      0.98664      0.50263    981.34390
    -0.94200      0.98566      0.53945    979.98880
    -0.94000      0.98466      0.57753    978.58951
    -0.93800      0.98362      0.61680    977.14772
    -0.93600      0.98255      0.65724    975.66515
    -0.93400      0.98146      0.69880    974.14354
    -0.93200      0.98034      0.74144    972.58465
    -0.93000      0.97919      0.78511    970.99021
    -0.92800      0.97802      0.82977    969.36196
    -0.92600      0.97682      0.87538    967.70160
    -0.92400      0.97560      0.92189    966.01080
    -0.92200      0.97436      0.96926    964.29119
    -0.92000      0.97310      1.01746    962.54436
    -0.91800      0.97182      1.06644    960.77184
    -0.91600      0.97052      1.11618    958.97511
    -0.91400      0.96920      1.16662    957.15559
    -0.91200      0.96787      1.21774    955.31466
    -0.91000      0.96652      1.26951    953.45362
    -0.90800      0.96516      1.32189    951.57372
    -0.90600      0.96378      1.37485    949.67617
    -0.90400      0.96240      1.42837    947.76209
    -0.90200      0.96100      1.48240    945.83259
    -0.90000      0.95958      1.53694    943.88867
    -0.89800      0.95816      1.59196    941.93134
    -0.89600      0.95673      1.64742    939.96150
    -0.89400      0.95529      1.70331    937.98004
    -0.89200      0.95384      1.75961    935.98780
    -0.89000      0.95238      1.81629    933.98555
    -0.88800      0.95091      1.87334    931.97405
    -0.88600      0.94944      1.93074    929.95399
    -0.88400      0.94796      1.98847    927.92605
    -0.88200      0.94648      2.04651    925.89086
    -0.88000      0.94498      2.10486    923.84899
    -0.87800      0.94349      2.16349    921.80103
    -0.87600      0.94199      2.22239    919.74749
    -0.87400      0.94048      2.28156    917.68888
    -0.87200      0.93897      2.34097    915.62567
    -0.87000      0.93745      2.40061    913.55830
    -0.86800      0.93593      2.46048    911.48720
    -0.86600      0.93441      2.52056    909.41275
    -0.86400      0.93288      2.58084    907.33535
    -0.86200      0.93136      2.64132    905.25534
    -0.86000      0.92983      2.70198    903.17306
    -0.85800      0.92829      2.76282    901.08882
    -0.85600      0.92676      2.82384    899.00292
    -0.85400      0.92522      2.88501    896.91565
    -0.85200      0.92368      2.94633    894.82727
    -0.85000      0.92214      3.00781    892.73803
    -0.84800      0.92059      3.06943    890.64818
    -0.84600      0.91905      3.13118    888.55793
    -0.84400      0.91750      3.19306    886.46751
    -0.84200      0.91596      3.25507    884.37711
    -0.84000      0.91441      3.31719    882.28693
    -0.83800      0.91286      3.37943    880.19715
    -0.83600      0.91131      3.44178    878.10794
    -0.83400      0.90976      3.50424    876.01946
    -0.83200      0.90822      3.56680    873.93186
    -0.83000      0.90667      3.62945    871.84530
    -0.82800      0.90512      3.69220    869.75991
    -0.82600      0.90357      3.75503    867.67582
    -0.82400      0.90202      3.81796    865.59316
    -0.82200      0.90047      3.88096    863.51205
    -0.82000      0.89892      3.94405    861.43259
    -0.81800      0.89737      4.00721    859.35490
    -0.81600      0.89582      4.07045    857.27908
    -0.81400      0.89427      4.13376    855.20521
    -0.81200      0.89272      4.19714    853.13340
    -0.81000      0.89117      4.26058    851.06373
    -0.80800      0.88962      4.32409    848.99628
    -0.80600      0.88808      4.38766    846.93114
    -0.80400      0.88653      4.45129    844.86836
    -0.80200      0.88499      4.51498    842.80804
    -0.80000      0.88344      4.57872    840.75023
    -0.79800      0.88190      4.64252    838.69499
    -0.79600      0.88035      4.70637    836.64240
    -0.79400      0.87881      4.77026    834.59250
    -0.79200      0.87727      4.83421    832.54535
    -0.79000      0.87573      4.89821    830.50101
    -0.78800      0.87419      4.96225    828.45952
    -0.78600      0.87266      5.02633    826.42094
    -0.78400      0.87112      5.09046    824.38530
    -0.78200      0.86958      5.15463    822.35265
    -0.78000      0.86805      5.21883    820.32304
    -0.77800      0.86652      5.28308    818.29649
    -0.77600      0.86499      5.34737    816.27306
    -0.77400      0.86346      5.41169    814.25277
    -0.77200      0.86193      5.47604    812.23565
    -0.77000      0.86040      5.54044    810.22175
    -0.76800      0.85887      5.60486    808.21109
    -0.76600      0.85735      5.66932    806.20369
    -0.76400      0.85583      5.73381    804.19960
    -0.76200      0.85430      5.79833    802.19883
    -0.76000      0.85278      5.86287    800.20141
    -0.75800      0.85126      5.92745    798.20736
    -0.75600      0.84975      5.99206    796.21670
    -0.75400      0.84823      6.05669    794.22947
    -0.75200      0.84672      6.12135    792.24567
    -0.75000      0.84520      6.18604    790.26533
    -0.74800      0.84369      6.25075    788.28847
    -0.74600      0.84218      6.31548    786.31510
