t =     0.1000
           x          rho            u            p
    -1.00000      1.00000      0.00000      0.01000
    -0.99800      1.00000      0.00000      0.01000
    -0.99600      1.00000      0.00000      0.01000
    -0.99400      1.00000      0.00000      0.01000
    -0.99200      1.00000      0.00000      0.01000
    -0.99000      1.00000      0.00000      0.01000
    -0.98800      1.00000      0.00000      0.01000
    -0.98600      1.00000      0.00000      0.01000
    -0.98400      1.00000      0.00000      0.01000
    -0.98200      1.00000      0.00000      0.01000
    -0.98000      1.00000      0.00000      0.01000
    -0.97800      1.00000      0.00000      0.01000
    -0.97600      1.00000      0.00000      0.01000
    -0.97400      1.00000      0.00000      0.01000
    -0.97200      1.00000      0.00000      0.01000
    -0.97000      1.00000      0.00000      0.01000
    -0.96800      1.00000      0.00000      0.01000
    -0.96600      1.00000      0.00000      0.01000
    -0.96400      1.00000      0.00000      0.01000
    -0.96200      1.00000      0.00000      0.01000
    -0.96000      1.00000      0.00000      0.01000
    -0.95800      1.00000      0.00000      0.01000
    -0.95600      1.00000      0.00000      0.01000
    -0.95400      1.00000      0.00000      0.01000
    -0.95200      1.00000      0.00000      0.01000
    -0.95000      1.00000      0.00000      0.01000
    -0.94800      1.00000      0.00000      0.01000
    -0.94600      1.00000      0.00000      0.01000
    -0.94400      1.00000      0.00000      0.01000
    -0.94200      1.00000      0.00000      0.01000
    -0.94000      1.00000      0.00000      0.01000
    -0.93800      1.00000      0.00000      0.01000
    -0.93600      1.00000      0.00000      0.01000
    -0.93400      1.00000      0.00000      0.01000
    -0.93200      1.00000      0.00000      0.01000
    -0.93000      1.00000      0.00000      0.01000
    -0.92800      1.00000      0.00000      0.01000
    -0.92600      1.00000      0.00000      0.01000
    -0.92400      1.00000      0.00000      0.01000
    -0.92200      1.00000      0.00000      0.01000
    -0.92000      1.00000      0.00000      0.01000
    -0.91800      1.00000      0.00000      0.01000
    -0.91600      1.00000      0.00000      0.01000
    -0.91400      1.00000      0.00000      0.01000
    -0.91200      1.00000      0.00000      0.01000
    -0.91000      1.00000      0.00000      0.01000
    -0.90800      1.00000      0.00000      0.01000
    -0.90600      1.00000      0.00000      0.01000
    -0.90400      1.00000      0.00000      0.01000
    -0.90200      1.00000      0.00000      0.01000
    -0.90000      1.00000      0.00000      0.01000
    -0.89800      1.00000      0.00000      0.01000
    -0.89600      1.00000      0.00000      0.01000
    -0.89400      1.00000      0.00000      0.01000
    -0.89200      1.00000      0.00000      0.01000
    -0.89000      1.00000      0.00000      0.01000
    -0.88800      1.00000      0.00000      0.01000
    -0.88600      1.00000      0.00000      0.01000
    -0.88400      1.00000      0.00000      0.01000
    -0.88200      1.00000      0.00000      0.01000
    -0.88000      1.00000      0.00000      0.01000
    -0.87800      1.00000      0.00000      0.01000
    -0.87600      1.00000      0.00000      0.01000
    -0.87400      1.00000      0.00000      0.01000
    -0.87200      1.00000      0.00000      0.01000
    -0.87000      1.00000      0.00000      0.01000
    -0.86800      1.00000      0.00000      0.01000
    -0.86600      1.00000      0.00000      0.01000
    -0.86400      1.00000      0.00000      0.01000
    -0.86200      1.00000      0.00000      0.01000
    -0.86000      1.00000      0.00000      0.01000
    -0.85800      1.00000      0.00000      0.01000
    -0.85600      1.00000      0.00000      0.01000
    -0.85400      1.00000      0.00000      0.01000
    -0.85200      1.00000      0.00000      0.01000
    -0.85000      1.00000      0.00000      0.01000
    -0.84800      1.00000      0.00000      0.01000
    -0.84600      1.00000      0.00000      0.01000
    -0.84400      1.00000      0.00000      0.01000
    -0.84200      1.00000      0.00000      0.01000
    -0.84000      1.00000      0.00000      0.01000
    -0.83800      1.00000      0.00000      0.01000
    -0.83600      1.00000      0.00000      0.01000
    -0.83400      1.00000      0.00000      0.01000
    -0.83200      1.00000      0.00000      0.01000
    -0.83000      1.00000      0.00000      0.01000
    -0.82800      1.00000      0.00000      0.01000
    -0.82600      1.00000      0.00000      0.01000
    -0.82400      1.00000      0.00000      0.01000
    -0.82200      1.00000      0.00000      0.01000
    -0.82000      1.00000      0.00000      0.01000
    -0.81800      1.00000      0.00000      0.01000
    -0.81600      1.00000      0.00000      0.01000
    -0.81400      1.00000      0.00000      0.01000
    -0.81200      1.00000      0.00000      0.01000
    -0.81000      1.00000      0.00000      0.01000
    -0.80800      1.00000      0.00000      0.01000
    -0.80600      1.00000      0.00000      0.01000
    -0.80400      1.00000      0.00000      0.01000
    -0.80200      1.00000      0.00000      0.01000
    -0.80000      1.00000      0.00000      0.01000
    -0.79800      1.00000      0.00000      0.01000
    -0.79600      1.00000      0.00000      0.01000
    -0.79400      1.00000      0.00000      0.01000
    -0.79200      1.00000      0.00000      0.01000
    -0.79000      1.00000      0.00000      0.01000
    -0.78800      1.00000      0.00000      0.01000
    -0.78600      1.00000      0.00000      0.01000
    -0.78400      1.00000      0.00000      0.01000
    -0.78200      1.00000      0.00000      0.01000
    -0.78000      1.00000      0.00000      0.01000
    -0.77800      1.00000      0.00000      0.01000
    -0.77600      1.00000      0.00000      0.01000
    -0.77400      1.00000      0.00000      0.01000
    -0.77200      1.00000      0.00000      0.01000
    -0.77000      1.00000      0.00000      0.01000
    -0.76800      1.00000      0.00000      0.01000
    -0.76600      1.00000      0.00000      0.01000
    -0.76400      1.00000      0.00000      0.01000
    -0.76200      1.00000     -0.00000      0.01000
    -0.76000      1.00000     -0.00000      0.01000
    -0.75800      1.00000     -0.00000      0.01000
    -0.75600      1.00000     -0.00000      0.01000
    -0.75400      1.00315     -0.00115      0.01021
    -0.75200      1.10460     -0.18695      0.18799
    -0.75000      1.79389     -1.86859      4.44641
    -0.74800      3.22840     -4.05713     17.41436
    -0.74600      4.55414     -5.27370     30.84650
    -0.74400      5.33820     -5.81320     39.09590
    -0.74200      5.71312     -6.03910     43.09662
    -0.74000      5.87630     -6.13212     44.84779
    -0.73800      5.94462     -6.17016     45.58296
    -0.73600      5.97271     -6.18568     45.88595
    -0.73400      5.98416     -6.19201     46.01004
    -0.73200      5.98876     -6.19458     46.06063
    -0.73000      5.99055     -6.19563     46.08124
    -0.72800      5.99117     -6.19605     46.08960
    -0.72600      5.99128     -6.19623     46.09296
    -0.72400      5.99115     -6.19630     46.09428
    -0.72200      5.99087     -6.19632     46.09476
    -0.72000      5.99047     -6.19633     46.09489
    -0.71800      5.98994     -6.19634     46.09488
    -0.71600      5.98928     -6.19634     46.09483
    -0.71400      5.98845     -6.19634     46.09476
    -0.71200      5.98741     -6.19634     46.09470
    -0.71000      5.98612     -6.19634     46.09465
    -0.70800      5.98453     -6.19634     46.09462
    -0.70600      5.98256     -6.19633     46.09459
    -0.70400      5.98016     -6.19633     46.09456
    -0.70200      5.97722     -6.19633     46.09454
    -0.70000      5.97366     -6.19633     46.09452
    -0.69800      5.96935     -6.19632     46.09449
    -0.69600      5.96416     -6.19632     46.09447
    -0.69400      5.95796     -6.19632     46.09444
    -0.69200      5.95057     -6.19632     46.09441
    -0.69000      5.94181     -6.19632     46.09438
    -0.68800      5.93149     -6.19632     46.09434
    -0.68600      5.91938     -6.19632     46.09429
    -0.68400      5.90523     -6.19632     46.09424
    -0.68200      5.88880     -6.19632     46.09419
    -0.68000      5.86980     -6.19632     46.09414
    -0.67800      5.84795     -6.19632     46.09409
    -0.67600      5.82294     -6.19632     46.09404
    -0.67400      5.79444     -6.19632     46.09400
    -0.67200      5.76215     -6.19632     46.09396
    -0.67000      5.72572     -6.19632     46.09393
    -0.66800      5.68483     -6.19632     46.09391
    -0.66600      5.63916     -6.19632     46.09389
    -0.66400      5.58839     -6.19632     46.09388
    -0.66200      5.53224     -6.19632     46.09387
    -0.66000      5.47043     -6.19632     46.09385
    -0.65800      5.40274     -6.19632     46.09384
    -0.65600      5.32894     -6.19631     46.09382
    -0.65400      5.24890     -6.19631     46.09380
    -0.65200      5.16250     -6.19631     46.09378
    -0.65000      5.06968     -6.19631     46.09375
    -0.64800      4.97047     -6.19632     46.09373
    -0.64600      4.86493     -6.19632     46.09370
    -0.64400      4.75321     -6.19632     46.09366
    -0.64200      4.63551     -6.19632     46.09363
    -0.64000      4.51212     -6.19632     46.09360
    -0.63800      4.38340     -6.19632     46.09357
    -0.63600      4.24977     -6.19632     46.09354
    -0.63400      4.11171     -6.19632     46.09352
    -0.63200      3.96978     -6.19632     46.09350
    -0.63000      3.82457     -6.19632     46.09348
    -0.62800      3.67673     -6.19632     46.09346
    -0.62600      3.52695     -6.19632     46.09344
    -0.62400      3.37595     -6.19632     46.09343
    -0.62200      3.22445     -6.19633     46.09342
    -0.62000      3.07320     -6.19633     46.09341
    -0.61800      2.92294     -6.19633     46.09341
    -0.61600      2.77438     -6.19633     46.09340
    -0.61400      2.62824     -6.19633     46.09339
    -0.61200      2.48517     -6.19633     46.09338
    -0.61000      2.34580     -6.19633     46.09337
    -0.60800      2.21070     -6.19633     46.09337
    -0.60600      2.08039     -6.19633     46.09336
    -0.60400      1.95531     -6.19633     46.09335
    -0.60200      1.83585     -6.19633     46.09334
    -0.60000      1.72231     -6.19633     46.09333
    -0.59800      1.61494     -6.19633     46.09332
    -0.59600      1.51391     -6.19633     46.09331
    -0.59400      1.41930     -6.19633     46.09330
    -0.59200      1.33117     -6.19634     46.09329
    -0.59000      1.24946     -6.19634     46.09328
    -0.58800      1.17409     -6.19634     46.09327
    -0.58600      1.10491     -6.19634     46.09326
    -0.58400      1.04173     -6.19634     46.09325
    -0.58200      0.98433     -6.19634     46.09324
    -0.58000      0.93243     -6.19634     46.09323
    -0.57800      0.88574     -6.19635     46.09322
    -0.57600      0.84396     -6.19635     46.09321
    -0.57400      0.80674     -6.19635     46.09320
    -0.57200      0.77377     -6.19635     46.09320
    -0.57000      0.74471     -6.19635     46.09319
    -0.56800      0.71922     -6.19635     46.09318
    -0.56600      0.69698     -6.19635     46.09318
    -0.56400      0.67767     -6.19636     46.09317
    -0.56200      0.66100     -6.19636     46.09317
    -0.56000      0.64667     -6.19636     46.09316
    -0.55800      0.63442     -6.19636     46.09316
    -0.55600      0.62400     -6.19636     46.09315
    -0.55400      0.61519     -6.19636     46.09315
    -0.55200      0.60778     -6.19636     46.09315
    -0.55000      0.60157     -6.19636     46.09314
    -0.54800      0.59640     -6.19636     46.09314
    -0.54600      0.59212     -6.19637     46.09314
    -0.54400      0.58859     -6.19637     46.09313
    -0.54200      0.58570     -6.19637     46.09313
    -0.54000      0.58335     -6.19637     46.09313
    -0.53800      0.58144     -6.19637     46.09312
    -0.53600      0.57990     -6.19637     46.09312
    -0.53400      0.57867     -6.19637     46.09312
    -0.53200      0.57769     -6.19637     46.09312
    -0.53000      0.57692     -6.19637     46.09311
    -0.52800      0.57631     -6.19637     46.09311
    -0.52600      0.57583     -6.19638     46.09311
    -0.52400      0.57546     -6.19638     46.09310
    -0.52200      0.57518     -6.19638     46.09310
    -0.52000      0.57496     -6.19638     46.09310
    -0.51800      0.57480     -6.19638     46.09309
    -0.51600      0.57468     -6.19638     46.09309
