t =     0.0250
           x          rho            u            p
    -1.00000      0.99961      0.01465    999.45190
    -0.99800      0.99953      0.01776    999.33549
    -0.99600      0.99943      0.02141    999.19901
    -0.99400      0.99931      0.02567    999.04001
    -0.99200      0.99918      0.03059    998.85593
    -0.99000      0.99903      0.03626    998.64415
    -0.98800      0.99886      0.04274    998.40199
    -0.98600      0.99866      0.05011    998.12673
    -0.98400      0.99844      0.05843    997.81571
    -0.98200      0.99819      0.06779    997.46632
    -0.98000      0.99791      0.07824    997.07604
    -0.97800      0.99760      0.08986    996.64247
    -0.97600      0.99726      0.10270    996.16343
    -0.97400      0.99688      0.11683    995.63688
    -0.97200      0.99647      0.13228    995.06106
    -0.97000      0.99602      0.14910    994.43442
    -0.96800      0.99554      0.16733    993.75570
    -0.96600      0.99501      0.18700    993.02390
    -0.96400      0.99445      0.20813    992.23832
    -0.96200      0.99385      0.23073    991.39853
    -0.96000      0.99321      0.25482    990.50437
    -0.95800      0.99253      0.28038    989.55596
    -0.95600      0.99181      0.30742    988.55366
    -0.95400      0.99105      0.33593    987.49807
    -0.95200      0.99026      0.36587    986.38999
    -0.95000      0.98943      0.39725    985.23043
    -0.94800      0.98856      0.43001    984.02056
    -0.94600      0.98766      0.46414    982.76170
    -0.94400      0.98672      0.49960    981.45528
    -0.94200      0.98575      0.53635    980.10284
    -0.94000      0.98474      0.57435    978.70601
    -0.93800      0.98371      0.61357    977.26646
    -0.93600      0.98264      0.65395    975.78591
    -0.93400      0.98155      0.69545    974.26612
    -0.93200      0.98043      0.73804    972.70883
    -0.93000      0.97928      0.78167    971.11579
    -0.92800      0.97811      0.82629    969.48874
    -0.92600      0.97691      0.87186    967.82940
    -0.92400      0.97569      0.91835    966.13943
    -0.92200      0.97445      0.96570    964.42048
    -0.92000      0.97319      1.01388    962.67413
    -0.91800      0.97191      1.06285    960.90194
    -0.91600      0.97061      1.11257    959.10537
    -0.91400      0.96930      1.16301    957.28588
    -0.91200      0.96796      1.21413    955.44483
    -0.91000      0.96662      1.26589    953.58355
    -0.90800      0.96525      1.31828    951.70328
    -0.90600      0.96388      1.37125    949.80525
    -0.90400      0.96249      1.42477    947.89058
    -0.90200      0.96109      1.47882    945.96038
    -0.90000      0.95968      1.53338    944.01568
    -0.89800      0.95825      1.58841    942.05746
    -0.89600      0.95682      1.64389    940.08666
    -0.89400      0.95538      1.69980    938.10417
    -0.89200      0.95393      1.75613    936.11081
    -0.89000      0.95247      1.81284    934.10738
    -0.88800      0.95100      1.86992    932.09463
    -0.88600      0.94953      1.92735    930.07328
