t =     0.0000
           x          rho            u            p
    -1.00000      5.99924     19.59750    460.89400
    -0.99800      5.99924     19.59750    460.89400
    -0.99600      5.99924     19.59750    460.89400
    -0.99400      5.99924     19.59750    460.89400
    -0.99200      5.99924     19.59750    460.89400
    -0.99000      5.99924     19.59750    460.89400
    -0.98800      5.99924     19.59750    460.89400
    -0.98600      5.99924     19.59750    460.89400
    -0.98400      5.99924     19.59750    460.89400
    -0.98200      5.99924     19.59750    460.89400
    -0.98000      5.99924     19.59750    460.89400
    -0.97800      5.99924     19.59750    460.89400
    -0.97600      5.99924     19.59750    460.89400
    -0.97400      5.99924     19.59750    460.89400
    -0.97200      5.99924     19.59750    460.89400
    -0.97000      5.99924     19.59750    460.89400
    -0.96800      5.99924     19.59750    460.89400
    -0.96600      5.99924     19.59750    460.89400
    -0.96400      5.99924     19.59750    460.89400
    -0.96200      5.99924     19.59750    460.89400
    -0.96000      5.99924     19.59750    460.89400
    -0.95800      5.99924     19.59750    460.89400
    -0.95600      5.99924     19.59750    460.89400
    -0.95400      5.99924     19.59750    460.89400
    -0.95200      5.99924     19.59750    460.89400
    -0.95000      5.99924     19.59750    460.89400
    -0.94800      5.99924     19.59750    460.89400
    -0.94600      5.99924     19.59750    460.89400
    -0.94400      5.99924     19.59750    460.89400
    -0.94200      5.99924     19.59750    460.89400
    -0.94000      5.99924     19.59750    460.89400
    -0.93800      5.99924     19.59750    460.89400
    -0.93600      5.99924     19.59750    460.89400
    -0.93400      5.99924     19.59750    460.89400
    -0.93200      5.99924     19.59750    460.89400
    -0.93000      5.99924     19.59750    460.89400
    -0.92800      5.99924     19.59750    460.89400
    -0.92600      5.99924     19.59750    460.89400
    -0.92400      5.99924     19.59750    460.89400
    -0.92200      5.99924     19.59750    460.89400
    -0.92000      5.99924     19.59750    460.89400
    -0.91800      5.99924     19.59750    460.89400
    -0.91600      5.99924     19.59750    460.89400
    -0.91400      5.99924     19.59750    460.89400
    -0.91200      5.99924     19.59750    460.89400
    -0.91000      5.99924     19.59750    460.89400
    -0.90800      5.99924     19.59750    460.89400
    -0.90600      5.99924     19.59750    460.89400
    -0.90400      5.99924     19.59750    460.89400
    -0.90200      5.99924     19.59750    460.89400
    -0.90000      5.99924     19.59750    460.89400
    -0.89800      5.99924     19.59750    460.89400
    -0.89600      5.99924     19.59750    460.89400
    -0.89400      5.99924     19.59750    460.89400
    -0.89200      5.99924     19.59750    460.89400
    -0.89000      5.99924     19.59750    460.89400
    -0.88800      5.99924     19.59750    460.89400
    -0.88600      5.99924     19.59750    460.89400
    -0.88400      5.99924     19.59750    460.89400
    -0.88200      5.99924     19.59750    460.89400
    -0.88000      5.99924     19.59750    460.89400
    -0.87800      5.99924     19.59750    460.89400
    -0.87600      5.99924     19.59750    460.89400
    -0.87400      5.99924     19.59750    460.89400
    -0.87200      5.99924     19.59750    460.89400
    -0.87000      5.99924     19.59750    460.89400
    -0.86800      5.99924     19.59750    460.89400
    -0.86600      5.99924     19.59750    460.89400
    -0.86400      5.99924     19.59750    460.89400
    -0.86200      5.99924     19.59750    460.89400
    -0.86000      5.99924     19.59750    460.89400
    -0.85800      5.99924     19.59750    460.89400
    -0.85600      5.99924     19.59750    460.89400
    -0.85400      5.99924     19.59750    460.89400
    -0.85200      5.99924     19.59750    460.89400
    -0.85000      5.99924     19.59750    460.89400
    -0.84800      5.99924     19.59750    460.89400
    -0.84600      5.99924     19.59750    460.89400
    -0.84400      5.99924     19.59750    460.89400
    -0.84200      5.99924     19.59750    460.89400
    -0.84000      5.99924     19.59750    460.89400
    -0.83800      5.99924     19.59750    460.89400
    -0.83600      5.99924     19.59750    460.89400
    -0.83400      5.99924     19.59750    460.89400
    -0.83200      5.99924     19.59750    460.89400
    -0.83000      5.99924     19.59750    460.89400
    -0.82800      5.99924     19.59750    460.89400
    -0.82600      5.99924     19.59750    460.89400
    -0.82400      5.99924     19.59750    460.89400
    -0.82200      5.99924     19.59750    460.89400
    -0.82000      5.99924     19.59750    460.89400
    -0.81800      5.99924     19.59750    460.89400
    -0.81600      5.99924     19.59750    460.89400
    -0.81400      5.99924     19.59750    460.89400
    -0.81200      5.99924     19.59750    460.89400
    -0.81000      5.99924     19.59750    460.89400
    -0.80800      5.99924     19.59750    460.89400
    -0.80600      5.99924     19.59750    460.89400
    -0.80400      5.99924     19.59750    460.89400
    -0.80200      5.99924     19.59750    460.89400
    -0.80000      5.99924     19.59750    460.89400
    -0.79800      5.99924     19.59750    460.89400
    -0.79600      5.99924     19.59750    460.89400
    -0.79400      5.99924     19.59750    460.89400
    -0.79200      5.99924     19.59750    460.89400
    -0.79000      5.99924     19.59750    460.89400
    -0.78800      5.99924     19.59750    460.89400
    -0.78600      5.99924     19.59750    460.89400
    -0.78400      5.99924     19.59750    460.89400
    -0.78200      5.99924     19.59750    460.89400
    -0.78000      5.99924     19.59750    460.89400
    -0.77800      5.99924     19.59750    460.89400
    -0.77600      5.99924     19.59750    460.89400
    -0.77400      5.99924     19.59750    460.89400
    -0.77200      5.99924     19.59750    460.89400
    -0.77000      5.99924     19.59750    460.89400
    -0.76800      5.99924     19.59750    460.89400
    -0.76600      5.99924     19.59750    460.89400
    -0.76400      5.99924     19.59750    460.89400
    -0.76200      5.99924     19.59750    460.89400
    -0.76000      5.99924     19.59750    460.89400
    -0.75800      5.99924     19.59750    460.89400
    -0.75600      5.99924     19.59750    460.89400
    -0.75400      5.99924     19.59750    460.89400
    -0.75200      5.99924     19.59750    460.89400
    -0.75000      5.99924     19.59750    460.89400
    -0.74800      5.99924     19.59750    460.89400
    -0.74600      5.99924     19.59750    460.89400
    -0.74400      5.99924     19.59750    460.89400
    -0.74200      5.99924     19.59750    460.89400
    -0.74000      5.99924     19.59750    460.89400
    -0.73800      5.99924     19.59750    460.89400
    -0.73600      5.99924     19.59750    460.89400
    -0.73400      5.99924     19.59750    460.89400
    -0.73200      5.99924     19.59750    460.89400
    -0.73000      5.99924     19.59750    460.89400
    -0.72800      5.99924     19.59750    460.89400
    -0.72600      5.99924     19.59750    460.89400
    -0.72400      5.99924     19.59750    460.89400
    -0.72200      5.99924     19.59750    460.89400
    -0.72000      5.99924     19.59750    460.89400
    -0.71800      5.99924     19.59750    460.89400
    -0.71600      5.99924     19.59750    460.89400
    -0.71400      5.99924     19.59750    460.89400
    -0.71200      5.99924     19.59750    460.89400
    -0.71000      5.99924     19.59750    460.89400
    -0.70800      5.99924     19.59750    460.89400
    -0.70600      5.99924     19.59750    460.89400
    -0.70400      5.99924     19.59750    460.89400
    -0.70200      5.99924     19.59750    460.89400
    -0.70000      5.99924     19.59750    460.89400
    -0.69800      5.99924     19.59750    460.89400
    -0.69600      5.99924     19.59750    460.89400
    -0.69400      5.99924     19.59750    460.89400
    -0.69200      5.99924     19.59750    460.89400
    -0.69000      5.99924     19.59750    460.89400
    -0.68800      5.99924     19.59750    460.89400
    -0.68600      5.99924     19.59750    460.89400
    -0.68400      5.99924     19.59750    460.89400
    -0.68200      5.99924     19.59750    460.89400
    -0.68000      5.99924     19.59750    460.89400
    -0.67800      5.99924     19.59750    460.89400
    -0.67600      5.99924     19.59750    460.89400
    -0.67400      5.99924     19.59750    460.89400
    -0.67200      5.99924     19.59750    460.89400
    -0.67000      5.99924     19.59750    460.89400
    -0.66800      5.99924     19.59750    460.89400
    -0.66600      5.99924     19.59750    460.89400
    -0.66400      5.99924     19.59750    460.89400
    -0.66200      5.99924     19.59750    460.89400
    -0.66000      5.99924     19.59750    460.89400
    -0.65800      5.99924     19.59750    460.89400
    -0.65600      5.99924     19.59750    460.89400
    -0.65400      5.99924     19.59750    460.89400
    -0.65200      5.99924     19.59750    460.89400
    -0.65000      5.99924     19.59750    460.89400
    -0.64800      5.99924     19.59750    460.89400
    -0.64600      5.99924     19.59750    460.89400
    -0.64400      5.99924     19.59750    460.89400
    -0.64200      5.99924     19.59750    460.89400
    -0.64000      5.99924     19.59750    460.89400
    -0.63800      5.99924     19.59750    460.89400
    -0.63600      5.99924     19.59750    460.89400
    -0.63400      5.99924     19.59750    460.89400
    -0.63200      5.99924     19.59750    460.89400
    -0.63000      5.99924     19.59750    460.89400
    -0.62800      5.99924     19.59750    460.89400
    -0.62600      5.99924     19.59750    460.89400
    -0.62400      5.99924     19.59750    460.89400
    -0.62200      5.99924     19.59750    460.89400
    -0.62000      5.99924     19.59750    460.89400
    -0.61800      5.99924     19.59750    460.89400
    -0.61600      5.99924     19.59750    460.89400
    -0.61400      5.99924     19.59750    460.89400
    -0.61200      5.99924     19.59750    460.89400
    -0.61000      5.99924     19.59750    460.89400
    -0.60800      5.99924     19.59750    460.89400
    -0.60600      5.99924     19.59750    460.89400
    -0.60400      5.99924     19.59750    460.89400
    -0.60200      5.99924     19.59750    460.89400
    -0.60000      5.99924     19.59750    460.89400
    -0.59800      5.99924     19.59750    460.89400
    -0.59600      5.99924     19.59750    460.89400
    -0.59400      5.99924     19.59750    460.89400
    -0.59200      5.99924     19.59750    460.89400
    -0.59000      5.99924     19.59750    460.89400
    -0.58800      5.99924     19.59750    460.89400
    -0.58600      5.99924     19.59750    460.89400
    -0.58400      5.99924     19.59750    460.89400
    -0.58200      5.99924     19.59750    460.89400
    -0.58000      5.99924     19.59750    460.89400
    -0.57800      5.99924     19.59750    460.89400
    -0.57600      5.99924     19.59750    460.89400
    -0.57400      5.99924     19.59750    460.89400
    -0.57200      5.99924     19.59750    460.89400
    -0.57000      5.99924     19.59750    460.89400
    -0.56800      5.99924     19.59750    460.89400
    -0.56600      5.99924     19.59750    460.89400
    -0.56400      5.99924     19.59750    460.89400
    -0.56200      5.99924     19.59750    460.89400
    -0.56000      5.99924     19.59750    460.89400
    -0.55800      5.99924     19.59750    460.89400
    -0.55600      5.99924     19.59750    460.89400
    -0.55400      5.99924     19.59750    460.89400
    -0.55200      5.99924     19.59750    460.89400
    -0.55000      5.99924     19.59750    460.89400
    -0.54800      5.99924     19.59750    460.89400
    -0.54600      5.99924     19.59750    460.89400
    -0.54400      5.99924     19.59750    460.89400
    -0.54200      5.99924     19.59750    460.89400
    -0.54000      5.99924     19.59750    460.89400
    -0.53800      5.99924     19.59750    460.89400
    -0.53600      5.99924     19.59750    460.89400
    -0.53400      5.99924     19.59750    460.89400
    -0.53200      5.99924     19.59750    460.89400
    -0.53000      5.99924     19.59750    460.89400
    -0.52800      5.99924     19.59750    460.89400
    -0.52600      5.99924     19.59750    460.89400
    -0.52400      5.99924     19.59750    460.89400
    -0.52200      5.99924     19.59750    460.89400
    -0.52000      5.99924     19.59750    460.89400
    -0.51800      5.99924     19.59750    460.89400
    -0.51600      5.99924     19.59750    460.89400
    -0.51400      5.99924     19.59750    460.89400
    -0.51200      5.99924     19.59750    460.89400
    -0.51000      5.99924     19.59750    460.89400
    -0.50800      5.99924     19.59750    460.89400
    -0.50600      5.99924     19.59750    460.89400
    -0.50400      5.99924     19.59750    460.89400
    -0.50200      5.99924     19.59750    460.89400
    -0.50000      5.99924     19.59750    460.89400
    -0.49800      5.99924     19.59750    460.89400
    -0.49600      5.99924     19.59750    460.89400
    -0.49400      5.99924     19.59750    460.89400
    -0.49200      5.99924     19.59750    460.89400
    -0.49000      5.99924     19.59750    460.89400
    -0.48800      5.99924     19.59750    460.89400
    -0.48600      5.99924     19.59750    460.89400
    -0.48400      5.99924     19.59750    460.89400
    -0.48200      5.99924     19.59750    460.89400
    -0.48000      5.99924     19.59750    460.89400
    -0.47800      5.99924     19.59750    460.89400
    -0.47600      5.99924     19.59750    460.89400
    -0.47400      5.99924     19.59750    460.89400
    -0.47200      5.99924     19.59750    460.89400
    -0.47000      5.99924     19.59750    460.89400
    -0.46800      5.99924     19.59750    460.89400
    -0.46600      5.99924     19.59750    460.89400
    -0.46400      5.99924     19.59750    460.89400
    -0.46200      5.99924     19.59750    460.89400
    -0.46000      5.99924     19.59750    460.89400
    -0.45800      5.99924     19.59750    460.89400
    -0.45600      5.99924     19.59750    460.89400
    -0.45400      5.99924     19.59750    460.89400
    -0.45200      5.99924     19.59750    460.89400
    -0.45000      5.99924     19.59750    460.89400
    -0.44800      5.99924     19.59750    460.89400
    -0.44600      5.99924     19.59750    460.89400
    -0.44400      5.99924     19.59750    460.89400
    -0.44200      5.99924     19.59750    460.89400
    -0.44000      5.99924     19.59750    460.89400
    -0.43800      5.99924     19.59750    460.89400
    -0.43600      5.99924     19.59750    460.89400
    -0.43400      5.99924     19.59750    460.89400
    -0.43200      5.99924     19.59750    460.89400
    -0.43000      5.99924     19.59750    460.89400
    -0.42800      5.99924     19.59750    460.89400
    -0.42600      5.99924     19.59750    460.89400
    -0.42400      5.99924     19.59750    460.89400
    -0.42200      5.99924     19.59750    460.89400
    -0.42000      5.99924     19.59750    460.89400
    -0.41800      5.99924     19.59750    460.89400
    -0.41600      5.99924     19.59750    460.89400
    -0.41400      5.99924     19.59750    460.89400
    -0.41200      5.99924     19.59750    460.89400
    -0.41000      5.99924     19.59750    460.89400
    -0.40800      5.99924     19.59750    460.89400
    -0.40600      5.99924     19.59750    460.89400
    -0.40400      5.99924     19.59750    460.89400
    -0.40200      5.99924     19.59750    460.89400
    -0.40000      5.99924     19.59750    460.89400
    -0.39800      5.99924     19.59750    460.89400
    -0.39600      5.99924     19.59750    460.89400
    -0.39400      5.99924     19.59750    460.89400
    -0.39200      5.99924     19.59750    460.89400
    -0.39000      5.99924     19.59750    460.89400
    -0.38800      5.99924     19.59750    460.89400
    -0.38600      5.99924     19.59750    460.89400
    -0.38400      5.99924     19.59750    460.89400
    -0.38200      5.99924     19.59750    460.89400
    -0.38000      5.99924     19.59750    460.89400
    -0.37800      5.99924     19.59750    460.89400
    -0.37600      5.99924     19.59750    460.89400
    -0.37400      5.99924     19.59750    460.89400
    -0.37200      5.99924     19.59750    460.89400
    -0.37000      5.99924     19.59750    460.89400
    -0.36800      5.99924     19.59750    460.89400
    -0.36600      5.99924     19.59750    460.89400
    -0.36400      5.99924     19.59750    460.89400
    -0.36200      5.99924     19.59750    460.89400
    -0.36000      5.99924     19.59750    460.89400
    -0.35800      5.99924     19.59750    460.89400
    -0.35600      5.99924     19.59750    460.89400
    -0.35400      5.99924     19.59750    460.89400
    -0.35200      5.99924     19.59750    460.89400
    -0.35000      5.99924     19.59750    460.89400
