t =     0.0250
           x          rho            u            p
    -1.00000      0.99960      0.01503    999.43794
    -0.99800      0.99951      0.01820    999.31908
    -0.99600      0.99941      0.02193    999.17985
    -0.99400      0.99930      0.02626    999.01778
    -0.99200      0.99916      0.03128    998.83030
    -0.99000      0.99901      0.03704    998.61478
    -0.98800      0.99883      0.04363    998.36853
    -0.98600      0.99863      0.05112    998.08886
    -0.98400      0.99841      0.05957    997.77310
    -0.98200      0.99816      0.06907    997.41865
    -0.98000      0.99787      0.07966    997.02300
    -0.97800      0.99756      0.09143    996.58381
    -0.97600      0.99721      0.10444    996.09887
    -0.97400      0.99683      0.11872    995.56622
    -0.97200      0.99641      0.13434    994.98410
    -0.97000      0.99596      0.15134    994.35102
    -0.96800      0.99547      0.16975    993.66574
    -0.96600      0.99494      0.18960    992.92731
    -0.96400      0.99438      0.21091    992.13506
    -0.96200      0.99377      0.23369    991.28860
    -0.96000      0.99312      0.25796    990.38782
    -0.95800      0.99244      0.28370    989.43285
    -0.95600      0.99172      0.31092    988.42410
    -0.95400      0.99096      0.33960    987.36219
    -0.95200      0.99016      0.36972    986.24796
    -0.95000      0.98932      0.40125    985.08242
    -0.94800      0.98845      0.43418    983.86678
    -0.94600      0.98754      0.46847    982.60237
    -0.94400      0.98660      0.50407    981.29063
    -0.94200      0.98562      0.54097    979.93312
    -0.94000      0.98462      0.57911    978.53147
    -0.93800      0.98358      0.61845    977.08736
    -0.93600      0.98251      0.65895    975.60252
    -0.93400      0.98141      0.70058    974.07868
    -0.93200      0.98029      0.74328    972.51761
    -0.93000      0.97914      0.78701    970.92106
    -0.92800      0.97796      0.83173    969.29074
    -0.92600      0.97677      0.87739    967.62838
    -0.92400      0.97554      0.92396    965.93563
    -0.92200      0.97430      0.97139    964.21414
    -0.92000      0.97304      1.01964    962.46548
    -0.91800      0.97176      1.06868    960.69118
    -0.91600      0.97046      1.11846    958.89273
    -0.91400      0.96914      1.16896    957.07155
    -0.91200      0.96781      1.22013    955.22901
    -0.91000      0.96646      1.27194    953.36641
    -0.90800      0.96510      1.32437    951.48502
    -0.90600      0.96372      1.37737    949.58601
    -0.90400      0.96233      1.43093    947.67054
    -0.90200      0.96093      1.48501    945.73968
    -0.90000      0.95952      1.53959    943.79446
    -0.89800      0.95809      1.59464    941.83587
    -0.89600      0.95666      1.65014    939.86481
    -0.89400      0.95522      1.70607    937.88218
    -0.89200      0.95377      1.76241    935.88881
    -0.89000      0.95231      1.81913    933.88547
    -0.88800      0.95084      1.87621    931.87291
    -0.88600      0.94937      1.93364    929.85184
    -0.88400      0.94789      1.99141    927.82292
    -0.88200      0.94640      2.04949    925.78678
    -0.88000      0.94491      2.10786    923.74400
    -0.87800      0.94341      2.16653    921.69516
    -0.87600      0.94191      2.22546    919.64077
    -0.87400      0.94040      2.28465    917.58134
    -0.87200      0.93889      2.34409    915.51734
    -0.87000      0.93737      2.40376    913.44921
    -0.86800      0.93585      2.46365    911.37738
    -0.86600      0.93433      2.52376    909.30223
    -0.86400      0.93280      2.58407    907.22415
    -0.86200      0.93127      2.64458    905.14348
    -0.86000      0.92974      2.70527    903.06057
    -0.85800      0.92821      2.76613    900.97572
    -0.85600      0.92667      2.82716    898.88924
    -0.85400      0.92513      2.88836    896.80141
    -0.85200      0.92359      2.94971    894.71249
    -0.85000      0.92205      3.01121    892.62274
    -0.84800      0.92051      3.07285    890.53239
    -0.84600      0.91896      3.13462    888.44167
    -0.84400      0.91742      3.19652    886.35079
    -0.84200      0.91587      3.25855    884.25996
    -0.84000      0.91432      3.32069    882.16936
    -0.83800      0.91278      3.38295    880.07918
    -0.83600      0.91123      3.44532    877.98959
    -0.83400      0.90968      3.50779    875.90074
    -0.83200      0.90813      3.57037    873.81281
    -0.83000      0.90658      3.63304    871.72592
    -0.82800      0.90503      3.69580    869.64022
    -0.82600      0.90348      3.75866    867.55584
    -0.82400      0.90193      3.82160    865.47290
    -0.82200      0.90038      3.88462    863.39152
    -0.82000      0.89883      3.94772    861.31182
    -0.81800      0.89728      4.01090    859.23390
    -0.81600      0.89573      4.07415    857.15786
    -0.81400      0.89418      4.13747    855.08380
    -0.81200      0.89263      4.20086    853.01180
    -0.81000      0.89108      4.26432    850.94196
    -0.80800      0.88953      4.32784    848.87436
    -0.80600      0.88799      4.39142    846.80907
    -0.80400      0.88644      4.45506    844.74618
    -0.80200      0.88489      4.51876    842.68574
    -0.80000      0.88335      4.58252    840.62783
    -0.79800      0.88181      4.64632    838.57252
    -0.79600      0.88026      4.71018    836.51985
    -0.79400      0.87872      4.77409    834.46990
    -0.79200      0.87718      4.83805    832.42271
    -0.79000      0.87564      4.90205    830.37834
    -0.78800      0.87410      4.96610    828.33684
    -0.78600      0.87256      5.03019    826.29826
    -0.78400      0.87103      5.09433    824.26263
    -0.78200      0.86949      5.15850    822.23001
    -0.78000      0.86796      5.22272    820.20044
    -0.77800      0.86643      5.28697    818.17395
    -0.77600      0.86489      5.35126    816.15058
    -0.77400      0.86336      5.41559    814.13037
    -0.77200      0.86183      5.47995    812.11335
    -0.77000      0.86031      5.54435    810.09955
    -0.76800      0.85878      5.60878    808.08901
    -0.76600      0.85726      5.67324    806.08175
    -0.76400      0.85573      5.73773    804.07780
    -0.76200      0.85421      5.80225    802.07718
    -0.76000      0.85269      5.86681    800.07993
    -0.75800      0.85117      5.93139    798.08607
    -0.75600      0.84965      5.99599    796.09561
    -0.75400      0.84814      6.06063    794.10859
    -0.75200      0.84662      6.12529    792.12502
    -0.75000      0.84511      6.18998    790.14491
    -0.74800      0.84360      6.25469    788.16830
    -0.74600      0.84209      6.31942    786.19520
    -0.74400      0.84058      6.38418    784.22562
    -0.74200      0.83908      6.44896    782.25958
    -0.74000      0.83757      6.51377    780.29709
    -0.73800      0.83607      6.57859    778.33818
    -0.73600      0.83457      6.64344    776.38285
    -0.73400      0.83307      6.70830    774.43112
    -0.73200      0.83157      6.77319    772.48299
    -0.73000      0.83007      6.83810    770.53849
    -0.72800      0.82858      6.90302    768.59762
    -0.72600      0.82709      6.96796    766.66040
    -0.72400      0.82560      7.03293    764.72682
    -0.72200      0.82411      7.09790    762.79691
    -0.72000      0.82262      7.16290    760.87067
    -0.71800      0.82113      7.22791    758.94811
    -0.71600      0.81965      7.29294    757.02923
    -0.71400      0.81817      7.35799    755.11405
    -0.71200      0.81669      7.42305    753.20258
    -0.71000      0.81521      7.48812    751.29481
    -0.70800      0.81373      7.55321    749.39075
    -0.70600      0.81226      7.61832    747.49042
    -0.70400      0.81078      7.68343    745.59381
    -0.70200      0.80931      7.74857    743.70093
    -0.70000      0.80784      7.81371    741.81179
    -0.69800      0.80637      7.87887    739.92638
    -0.69600      0.80491      7.94404    738.04473
    -0.69400      0.80344      8.00922    736.16681
    -0.69200      0.80198      8.07442    734.29265
    -0.69000      0.80052      8.13962    732.42225
    -0.68800      0.79906      8.20484    730.55560
    -0.68600      0.79761      8.27007    728.69271
    -0.68400      0.79615      8.33531    726.83358
    -0.68200      0.79470      8.40056    724.97822
    -0.68000      0.79325      8.46583    723.12662
    -0.67800      0.79180      8.53110    721.27879
    -0.67600      0.79035      8.59638    719.43473
    -0.67400      0.78891      8.66167    717.59444
    -0.67200      0.78746      8.72697    715.75792
    -0.67000      0.78602      8.79228    713.92518
    -0.66800      0.78458      8.85760    712.09621
    -0.66600      0.78315      8.92293    710.27101
    -0.66400      0.78171      8.98827    708.44959
    -0.66200      0.78028      9.05361    706.63194
    -0.66000      0.77885      9.11896    704.81806
    -0.65800      0.77742      9.18432    703.00796
    -0.65600      0.77599      9.24969    701.20164
    -0.65400      0.77456      9.31507    699.39909
    -0.65200      0.77314      9.38045    697.60031
    -0.65000      0.77172      9.44584    695.80530
    -0.64800      0.77030      9.51124    694.01407
    -0.64600      0.76888      9.57664    692.22661
    -0.64400      0.76746      9.64205    690.44292
    -0.64200      0.76605      9.70747    688.66300
    -0.64000      0.76463      9.77289    686.88685
    -0.63800      0.76322      9.83832    685.11446
    -0.63600      0.76182      9.90376    683.34584
    -0.63400      0.76041      9.96920    681.58099
    -0.63200      0.75900     10.03464    679.81990
    -0.63000      0.75760     10.10009    678.06257
    -0.62800      0.75620     10.16555    676.30900
    -0.62600      0.75480     10.23101    674.55919
    -0.62400      0.75341     10.29647    672.81313
    -0.62200      0.75201     10.36194    671.07083
    -0.62000      0.75062     10.42742    669.33229
    -0.61800      0.74923     10.49290    667.59749
    -0.61600      0.74784     10.55838    665.86645
    -0.61400      0.74645     10.62387    664.13915
    -0.61200      0.74507     10.68936    662.41560
    -0.61000      0.74369     10.75485    660.69579
    -0.60800      0.74230     10.82035    658.97972
    -0.60600      0.74093     10.88585    657.26740
    -0.60400      0.73955     10.95135    655.55881
    -0.60200      0.73817     11.01686    653.85395
    -0.60000      0.73680     11.08237    652.15283
    -0.59800      0.73543     11.14788    650.45545
    -0.59600      0.73406     11.21339    648.76179
    -0.59400      0.73269     11.27891    647.07186
    -0.59200      0.73133     11.34442    645.38565
    -0.59000      0.72997     11.40994    643.70317
    -0.58800      0.72861     11.47546    642.02440
    -0.58600      0.72725     11.54099    640.34936
    -0.58400      0.72589     11.60651    638.67804
    -0.58200      0.72454     11.67203    637.01043
    -0.58000      0.72318     11.73756    635.34653
    -0.57800      0.72183     11.80309    633.68634
    -0.57600      0.72048     11.86861    632.02987
    -0.57400      0.71914     11.93414    630.37710
    -0.57200      0.71779     11.99967    628.72803
    -0.57000      0.71645     12.06519    627.08268
    -0.56800      0.71511     12.13072    625.44102
    -0.56600      0.71377     12.19624    623.80306
    -0.56400      0.71243     12.26177    622.16881
    -0.56200      0.71110     12.32729    620.53825
    -0.56000      0.70976     12.39281    618.91139
    -0.55800      0.70843     12.45833    617.28822
    -0.55600      0.70711     12.52385    615.66875
    -0.55400      0.70578     12.58937    614.05297
    -0.55200      0.70445     12.65489    612.44089
    -0.55000      0.70313     12.72040    610.83249
    -0.54800      0.70181     12.78591    609.22779
    -0.54600      0.70049     12.85141    607.62677
    -0.54400      0.69918     12.91692    606.02945
    -0.54200      0.69786     12.98242    604.43581
    -0.54000      0.69655     13.04791    602.84586
    -0.53800      0.69524     13.11340    601.25960
    -0.53600      0.69393     13.17889    599.67703
    -0.53400      0.69262     13.24437    598.09815
    -0.53200      0.69132     13.30985    596.52296
    -0.53000      0.69002     13.37532    594.95146
    -0.52800      0.68872     13.44079    593.38365
    -0.52600      0.68742     13.50624    591.81954
    -0.52400      0.68613     13.57170    590.25911
    -0.52200      0.68483     13.63714    588.70239
    -0.52000      0.68354     13.70258    587.14936
    -0.51800      0.68225     13.76801    585.60003
    -0.51600      0.68096     13.83343    584.05440
    -0.51400      0.67968     13.89885    582.51248
    -0.51200      0.67840     13.96425    580.97426
    -0.51000      0.67711     14.02964    579.43976
    -0.50800      0.67584     14.09503    577.90897
    -0.50600      0.67456     14.16040    576.38190
    -0.50400      0.67328     14.22576    574.85856
    -0.50200      0.67201     14.29111    573.33894
    -0.50000      0.67074     14.35645    571.82306
    -0.49800      0.66947     14.42178    570.31091
    -0.49600      0.66821     14.48709    568.80252
    -0.49400      0.66694     14.55238    567.29787
    -0.49200      0.66568     14.61766    565.79699
    -0.49000      0.66442     14.68293    564.29988
    -0.48800      0.66317     14.74818    562.80654
    -0.48600      0.66191     14.81341    561.31699
    -0.48400      0.66066     14.87862    559.83124
    -0.48200      0.65941     14.94382    558.34930
    -0.48000      0.65816     15.00899    556.87117
    -0.47800      0.65692     15.07414    555.39688
    -0.47600      0.65567     15.13927    553.92643
    -0.47400      0.65443     15.20438    552.45983
    -0.47200      0.65319     15.26947    550.99712
    -0.47000      0.65196     15.33452    549.53829
    -0.46800      0.65072     15.39956    548.08337
    -0.46600      0.64949     15.46456    546.63238
    -0.46400      0.64826     15.52953    545.18533
    -0.46200      0.64704     15.59448    543.74224
    -0.46000      0.64581     15.65939    542.30315
    -0.45800      0.64459     15.72427    540.86807
    -0.45600      0.64337     15.78911    539.43703
    -0.45400      0.64215     15.85391    538.01005
    -0.45200      0.64094     15.91868    536.58717
    -0.45000      0.63973     15.98341    535.16841
    -0.44800      0.63852     16.04809    533.75382
    -0.44600      0.63731     16.11272    532.34341
    -0.44400      0.63611     16.17731    530.93724
    -0.44200      0.63491     16.24185    529.53534
    -0.44000      0.63371     16.30634    528.13776
    -0.43800      0.63252     16.37077    526.74454
    -0.43600      0.63132     16.43514    525.35572
    -0.43400      0.63013     16.49945    523.97137
    -0.43200      0.62895     16.56370    522.59154
    -0.43000      0.62776     16.62788    521.21629
    -0.42800      0.62658     16.69198    519.84568
    -0.42600      0.62541     16.75601    518.47978
    -0.42400      0.62423     16.81996    517.11867
    -0.42200      0.62306     16.88383    515.76241
    -0.42000      0.62190     16.94760    514.41111
    -0.41800      0.62073     17.01128    513.06484
    -0.41600      0.61957     17.07486    511.72370
    -0.41400      0.61842     17.13834    510.38780
    -0.41200      0.61726     17.20170    509.05725
    -0.41000      0.61612     17.26494    507.73216
    -0.40800      0.61497     17.32806    506.41267
    -0.40600      0.61383     17.39104    505.09892
    -0.40400      0.61269     17.45388    503.79104
    -0.40200      0.61156     17.51657    502.48921
    -0.40000      0.61043     17.57910    501.19358
    -0.39800      0.60931     17.64146    499.90435
    -0.39600      0.60819     17.70363    498.62172
    -0.39400      0.60708     17.76562    497.34590
    -0.39200      0.60597     17.82739    496.07711
    -0.39000      0.60487     17.88895    494.81562
    -0.38800      0.60378     17.95026    493.56169
    -0.38600      0.60269     18.01133    492.31561
    -0.38400      0.60160     18.07213    491.07769
    -0.38200      0.60053     18.13264    489.84828
    -0.38000      0.59946     18.19285    488.62775
    -0.37800      0.59840     18.25272    487.41648
    -0.37600      0.59734     18.31224    486.21491
    -0.37400      0.59629     18.37138    485.02351
    -0.37200      0.59526     18.43012    483.84278
    -0.37000      0.59423     18.48842    482.67327
    -0.36800      0.59321     18.54625    481.51556
    -0.36600      0.59220     18.60357    480.37029
    -0.36400      0.59120     18.66035    479.23814
    -0.36200      0.59022     18.71656    478.11988
    -0.36000      0.58924     18.77213    477.01628
    -0.35800      0.58828     18.82703    475.92823
    -0.35600      0.58734     18.88120    474.85666
    -0.35400      0.58640     18.93459    473.80256
    -0.35200      0.58549     18.98715    472.76702
    -0.35000      0.58459     19.03879    471.75119
    -0.34800      0.58371     19.08947    470.75629
    -0.34600      0.58284     19.13910    469.78364
    -0.34400      0.58200     19.18761    468.83463
    -0.34200      0.58118     19.23492    467.91071
    -0.34000      0.58039     19.28094    467.01345
    -0.33800      0.57961     19.32558    466.14443
    -0.33600      0.57887     19.36876    465.30533
    -0.33400      0.57815     19.41037    464.49787
    -0.33200      0.57746     19.45032    463.72377
    -0.33000      0.57680     19.48851    462.98481
    -0.32800      0.57618     19.52484    462.28271
    -0.32600      0.57559     19.55922    461.61916
    -0.32400      0.57503     19.59156    460.99577
    -0.32200      0.57451     19.62177    460.41402
    -0.32000      0.57403     19.64978    459.87524
    -0.31800      0.57359     19.67553    459.38053
    -0.31600      0.57319     19.69896    458.93074
    -0.31400      0.57283     19.72003    458.52640
    -0.31200      0.57251     19.73874    458.16769
    -0.31000      0.57223     19.75510    457.85441
    -0.30800      0.57199     19.76912    457.58591
    -0.30600      0.57179     19.78086    457.36112
    -0.30400      0.57162     19.79041    457.17851
    -0.30200      0.57150     19.79785    457.03613
    -0.30000      0.57140     19.80332    456.93160
    -0.29800      0.57134     19.80695    456.86219
    -0.29600      0.57131     19.80890    456.82489
    -0.29400      0.57130     19.80934    456.81644
    -0.29200      0.57131     19.80845    456.83344
    -0.29000      0.57135     19.80641    456.87244
    -0.28800      0.57140     19.80340    456.93002
    -0.28600      0.57146     19.79958    457.00286
    -0.28400      0.57154     19.79514    457.08783
    -0.28200      0.57162     19.79021    457.18203
    -0.28000      0.57171     19.78494    457.28285
    -0.27800      0.57181     19.77945    457.38798
    -0.27600      0.57190     19.77383    457.49543
    -0.27400      0.57200     19.76818    457.60355
    -0.27200      0.57209     19.76257    457.71096
    -0.27000      0.57219     19.75705    457.81660
    -0.26800      0.57228     19.75167    457.91965
    -0.26600      0.57237     19.74646    458.01951
    -0.26400      0.57245     19.74143    458.11579
    -0.26200      0.57254     19.73661    458.20825
    -0.26000      0.57261     19.73199    458.29676
    -0.25800      0.57269     19.72758    458.38132
    -0.25600      0.57276     19.72337    458.46198
    -0.25400      0.57283     19.71936    458.53886
    -0.25200      0.57289     19.71554    458.61210
    -0.25000      0.57296     19.71190    458.68189
    -0.24800      0.57302     19.70843    458.74841
    -0.24600      0.57307     19.70512    458.81185
    -0.24400      0.57313     19.70197    458.87239
    -0.24200      0.57318     19.69895    458.93021
    -0.24000      0.57323     19.69607    458.98550
    -0.23800      0.57327     19.69331    459.03840
    -0.23600      0.57332     19.69067    459.08908
    -0.23400      0.57336     19.68814    459.13766
    -0.23200      0.57340     19.68571    459.18429
    -0.23000      0.57344     19.68338    459.22908
    -0.22800      0.57348     19.68114    459.27214
    -0.22600      0.57352     19.67898    459.31358
    -0.22400      0.57355     19.67690    459.35347
    -0.22200      0.57358     19.67490    459.39192
    -0.22000      0.57362     19.67297    459.42900
    -0.21800      0.57365     19.67110    459.46478
    -0.21600      0.57368     19.66930    459.49932
    -0.21400      0.57371     19.66756    459.53270
    -0.21200      0.57374     19.66588    459.56497
    -0.21000      0.57376     19.66426    459.59618
    -0.20800      0.57379     19.66269    459.62638
    -0.20600      0.57382     19.66116    459.65563
    -0.20400      0.57384     19.65969    459.68395
    -0.20200      0.57387     19.65826    459.71140
    -0.20000      0.57389     19.65687    459.73801
    -0.19800      0.57391     19.65553    459.76382
    -0.19600      0.57393     19.65423    459.78886
    -0.19400      0.57396     19.65296    459.81316
    -0.19200      0.57398     19.65173    459.83675
    -0.19000      0.57400     19.65054    459.85966
    -0.18800      0.57402     19.64938    459.88191
    -0.18600      0.57403     19.64826    459.90354
    -0.18400      0.57405     19.64716    459.92456
    -0.18200      0.57407     19.64610    459.94500
    -0.18000      0.57409     19.64506    459.96487
    -0.17800      0.57410     19.64406    459.98420
    -0.17600      0.57412     19.64308    460.00301
    -0.17400      0.57414     19.64213    460.02131
    -0.17200      0.57415     19.64120    460.03913
    -0.17000      0.57417     19.64030    460.05648
    -0.16800      0.57418     19.63942    460.07337
    -0.16600      0.57420     19.63856    460.08982
    -0.16400      0.57421     19.63773    460.10585
    -0.16200      0.57422     19.63691    460.12146
    -0.16000      0.57424     19.63612    460.13668
    -0.15800      0.57425     19.63535    460.15152
    -0.15600      0.57426     19.63460    460.16598
    -0.15400      0.57427     19.63386    460.18008
    -0.15200      0.57429     19.63315    460.19383
    -0.15000      0.57430     19.63245    460.20725
    -0.14800      0.57431     19.63177    460.22033
    -0.14600      0.57432     19.63110    460.23310
    -0.14400      0.57433     19.63045    460.24556
    -0.14200      0.57434     19.62982    460.25772
    -0.14000      0.57435     19.62920    460.26959
    -0.13800      0.57436     19.62860    460.28118
    -0.13600      0.57437     19.62801    460.29250
    -0.13400      0.57438     19.62744    460.30355
    -0.13200      0.57439     19.62687    460.31434
    -0.13000      0.57440     19.62632    460.32488
    -0.12800      0.57441     19.62579    460.33518
    -0.12600      0.57441     19.62527    460.34523
    -0.12400      0.57442     19.62475    460.35506
    -0.12200      0.57443     19.62425    460.36466
    -0.12000      0.57444     19.62377    460.37404
    -0.11800      0.57445     19.62329    460.38321
    -0.11600      0.57445     19.62282    460.39217
    -0.11400      0.57446     19.62237    460.40093
    -0.11200      0.57447     19.62192    460.40948
    -0.11000      0.57448     19.62148    460.41785
    -0.10800      0.57448     19.62106    460.42602
    -0.10600      0.57449     19.62064    460.43401
    -0.10400      0.57450     19.62024    460.44183
    -0.10200      0.57450     19.61984    460.44946
    -0.10000      0.57451     19.61945    460.45693
    -0.09800      0.57451     19.61907    460.46424
    -0.09600      0.57452     19.61870    460.47138
    -0.09400      0.57453     19.61833    460.47837
    -0.09200      0.57453     19.61798    460.48521
    -0.09000      0.57454     19.61763    460.49191
    -0.08800      0.57454     19.61728    460.49846
    -0.08600      0.57455     19.61695    460.50488
    -0.08400      0.57455     19.61662    460.51117
    -0.08200      0.57456     19.61630    460.51733
    -0.08000      0.57456     19.61599    460.52337
    -0.07800      0.57457     19.61568    460.52930
    -0.07600      0.57457     19.61537    460.53511
    -0.07400      0.57458     19.61508    460.54082
    -0.07200      0.57458     19.61479    460.54642
    -0.07000      0.57458     19.61450    460.55191
    -0.06800      0.57459     19.61422    460.55731
    -0.06600      0.57459     19.61394    460.56262
    -0.06400      0.57460     19.61367    460.56783
    -0.06200      0.57460     19.61340    460.57295
    -0.06000      0.57460     19.61314    460.57797
    -0.05800      0.57461     19.61288    460.58292
    -0.05600      0.57461     19.61263    460.58777
    -0.05400      0.57462     19.61238    460.59254
    -0.05200      0.57462     19.61214    460.59722
    -0.05000      0.57462     19.61190    460.60182
    -0.04800      0.57463     19.61166    460.60634
    -0.04600      0.57463     19.61143    460.61078
    -0.04400      0.57463     19.61120    460.61513
    -0.04200      0.57464     19.61098    460.61940
    -0.04000      0.57464     19.61076    460.62359
    -0.03800      0.57464     19.61055    460.62771
    -0.03600      0.57464     19.61033    460.63174
    -0.03400      0.57465     19.61013    460.63570
    -0.03200      0.57465     19.60993    460.63958
    -0.03000      0.57465     19.60973    460.64339
    -0.02800      0.57466     19.60953    460.64712
    -0.02600      0.57466     19.60934    460.65078
    -0.02400      0.57466     19.60915    460.65436
    -0.02200      0.57466     19.60897    460.65788
    -0.02000      0.57467     19.60879    460.66133
    -0.01800      0.57467     19.60861    460.66471
    -0.01600      0.57467     19.60844    460.66803
    -0.01400      0.57467     19.60827    460.67128
    -0.01200      0.57467     19.60810    460.67447
    -0.01000      0.57468     19.60794    460.67760
    -0.00800      0.57468     19.60778    460.68066
    -0.00600      0.57468     19.60762    460.68367
    -0.00400      0.57468     19.60747    460.68662
    -0.00200      0.57468     19.60732    460.68952
     0.00000      0.57469     19.60717    460.69236
